Query	DB entry	Qstart	Qend	Dstart	Dend	Qseed	Dseed	Score	P-value	E-value	TargetBpSupport	TargetBpSupport	MfePvalue	
16S_600	URS00004AB8DC_16S	0	199	608	807	0-25	608-633	190.53499	1.0555245566479243e-10	2.7865848295505202e-8	1.0	1.0	7.597597880306832e-26	!
16S_500	URS00004AB8DC_16S	0	196	508	704	0-44	508-552	203.46594	1.570158447705694e-10	4.380742069098886e-8	1.0	1.0	3.644203714274192e-20	!
16S_200	URS00004AB8DC_16S	9	199	216	406	119-185	326-392	187.13252	4.705853484665568e-10	9.270531364791168e-8	1.0	1.0	1.3628127454118064e-14	!
16S_1200	URS00004AB8DC_16S	0	199	1208	1407	110-199	1318-1407	244.57608	5.012592563247154e-10	1.2581607333750355e-7	1.0	1.0	3.725128971341064e-15	!
16S_1300	URS00004AB8DC_16S	0	180	1308	1488	10-112	1318-1420	199.02312	1.6818695325326871e-9	4.726053386416851e-7	1.0	1.0	7.189192939734772e-8	!
16S_700	URS00004AB8DC_16S	0	161	708	869	0-129	708-837	159.63226	4.135089715084916e-9	1.1950409276595408e-6	1.0	1.0	2.196556450893844e-7	!
16S_800	URS00004AB8DC_16S	0	199	808	1008	73-199	882-1008	184.53502	1.0357064983423925e-8	2.7964075455244597e-6	1.0	1.0	4.080159451124304e-10	!
16S_900	URS00004AB8DC_16S	7	170	916	1079	16-100	925-1009	173.76045	5.6163951378529475e-8	8.873904317807657e-6	1.0	1.0	5.018699159207548e-7	!
16S_400	URS00004AB8DC_16S	19	199	427	607	97-144	505-552	159.76523	1.0632882785355235e-7	0.00003157966187250505	1.0	1.0	1.3582967825586435e-16	!
16S_300	URS00004AB8DC_16S	4	194	311	501	19-85	326-392	146.14476	2.1676936556858095e-7	0.00006134573045590841	1.0	1.0	3.5898021987960925e-7	!
16S_last	URS00004AB8DC_16S	0	138	1350	1488	0-70	1350-1420	128.84921	4.109731457369037e-7	0.00008753728004196049	1.0	1.0	0.0007897137487164903	!
16S_1100	URS00004AB8DC_16S	49	199	1157	1307	54-96	1162-1204	132.35149	5.789526719146565e-7	0.0001372117832437736	1.0	1.0	3.2465275859356833e-10	!
16S_0	URS00004AB8DC_16S	20	171	17	168	95-112	92-109	87.73413	0.00007949371976589958	0.01327545120090523				?
16S_100	URS00004AB8DC_16S	109	199	216	306	132-148	239-255	84.125305	0.00039701895887755967	0.06511110925591979				?
16S_1100	URS00004AB8DC_16S	40	194	55	209	165-185	180-200	80.02555	0.0003492691635744727	0.08277679176715003				?
16S_900	URS00004AB8DC_16S	1	170	128	297	79-100	206-227	86.49979	0.0005758434411256008	0.09098326369784493				?
